City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
196,Bubaque,GW,81.27,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
198,Port Blair,IN,81.28,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
201,Sioux Lookout,CA,85.21,clear sky,50.1001,-91.917,Knobby's Fly-In Camps
203,Aguimes,ES,75.67,scattered clouds,27.9054,-15.4461,Hotel Villa de Aguimes
206,Mabaruma,GY,83.28,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
213,Caravelas,BR,78.21,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
215,Guerrero Negro,MX,77.9,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
216,Eyl,SO,78.17,broken clouds,7.9803,49.8164,Amiin Hotel
217,Harper,LR,76.37,overcast clouds,4.375,-7.7169,Screensaver
219,Ouahigouya,BF,85.84,broken clouds,13.5828,-2.4216,Hotel Liberte
221,Minggang,CN,79.18,scattered clouds,32.4586,114.0486,Yindu Hotel
223,Luganville,VU,77.4,broken clouds,-15.5333,167.1667,The Espiritu Hotel
228,Sao Miguel,BR,79.57,broken clouds,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
235,Suez,EG,82.29,clear sky,29.9737,32.5263,Green House
236,Palazzolo Acreide,IT,79.92,clear sky,37.0623,14.9035,Feudo Bauly
237,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
243,Mana,GF,82.62,broken clouds,5.6592,-53.7767,LE SAMANA
244,Corinto,GR,85.89,clear sky,37.9407,22.9573,Ephira Hotel
247,Lakhtar,IN,83.37,light rain,22.85,71.7833,Firdaus Society
248,Ribeira Grande,PT,77.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
249,Kavieng,PG,81.86,light rain,-2.5744,150.7967,Nusa Island Retreat
250,Kirakira,SB,79.54,scattered clouds,-10.4544,161.9205,SanBiz Lodge
251,Buta,CD,75.0,light rain,2.7858,24.73,Hôtel BOPANDO
252,Kavaratti,IN,82.36,overcast clouds,10.5669,72.642,Green leaf
255,Thiruvananthapuram,IN,80.58,mist,8.4833,76.9167,Hotel Residency Tower
260,Buala,SB,79.0,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
263,Hamilton,US,75.83,mist,39.1834,-84.5333,Six Acres Bed & Breakfast
266,Alugan,PH,79.84,overcast clouds,12.2188,125.4808,JM Lodge
270,Itupeva,BR,83.93,clear sky,-23.1531,-47.0578,Itupeva Plaza Hotel
272,Great Bend,US,86.13,clear sky,38.3645,-98.7648,Best Western Angus Inn
275,Douglas,US,85.39,scattered clouds,41.3,-96.167,Hilton Garden Inn Omaha West
277,Lasa,IT,75.29,few clouds,46.6166,10.7002,Pension Feldgärtenhof
278,Rosetta,EG,77.77,clear sky,31.4044,30.4164,Green Valley
287,Ghatsila,IN,79.36,few clouds,22.6,86.4833,Suhasita Resort
288,Takoradi,GH,75.78,broken clouds,4.8845,-1.7554,Raybow International Hotel
290,Torbay,CA,77.76,broken clouds,47.6666,-52.7314,Gallows Cove
291,Meulaboh,ID,77.72,broken clouds,4.1363,96.1285,Kost Pria
299,Mitsamiouli,KM,77.25,scattered clouds,-11.3847,43.2844,Foyer ADM
300,Cockburn Town,TC,82.76,clear sky,21.4612,-71.1419,Osprey Beach Hotel
304,Sao Gabriel Da Cachoeira,BR,88.88,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
305,Naze,JP,79.84,overcast clouds,28.3667,129.4833,Shishime Hotel
306,Acapulco,MX,87.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
307,Paraiso,CR,76.06,broken clouds,9.8383,-83.8656,Hotel Rinconcito Verde
310,Biltine,TD,75.25,heavy intensity rain,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
313,Kahului,US,82.42,clear sky,20.8947,-156.47,Maui Seaside Hotel
316,Siniscola,IT,85.55,clear sky,40.5719,9.6922,Hotel Sa Tanca E Bore
317,Kudahuvadhoo,MV,81.16,moderate rain,2.6708,72.8944,Niyama Private Islands Maldives
318,Tura,IN,76.73,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
319,Tutoia,BR,83.66,few clouds,-2.7619,-42.2744,Pousada Guará's
321,Damnagar,IN,80.46,overcast clouds,21.7,71.5167,Lalji Dada ni haveli
322,Faanui,PF,76.59,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
324,Marsh Harbour,BS,84.04,broken clouds,26.5412,-77.0636,Abaco Beach Resort
328,Itacarambi,BR,88.03,clear sky,-15.1022,-44.0919,POUSADA CAMALEÃO
335,Sola,VU,80.96,overcast clouds,-13.8833,167.55,Leumerus Bungalows
336,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Central
337,Labuan,MY,81.43,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
341,Dingle,PH,75.09,light rain,10.9995,122.6711,SEGAYA PROPERTY
342,Gamboma,CG,84.65,broken clouds,-1.8764,15.8644,Residence N'Keni
344,Niquero,CU,87.64,clear sky,20.0431,-77.5828,Islazul Niquero
345,Tateyama,JP,76.1,scattered clouds,34.9833,139.8667,Tateyama Seaside Hotel
349,Dosso,NE,86.45,overcast clouds,13.049,3.1937,Hotel Toubal
350,Kilindoni,TZ,76.6,broken clouds,-7.9139,39.6668,Bustani B&B
351,Itoman,JP,83.17,moderate rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
353,Grand Forks,US,87.53,scattered clouds,47.9417,-97.4337,Warrior Inn
354,Cascais,PT,80.62,few clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
356,Puerto Colombia,CO,86.09,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
361,Puerto Escondido,MX,88.63,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
363,Repelon,CO,85.87,broken clouds,10.4919,-75.1292,Hostal Amanecer en Repelón
364,Long,TH,77.38,broken clouds,18.0761,99.8326,Nopphakoe Homestay
365,Peniche,PT,75.29,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
374,Yala,TH,75.38,broken clouds,6.3333,101.25,งานแต่ง Murnee - Wahid
375,Bay Roberts,CA,79.52,broken clouds,47.5999,-53.2648,Stonewall Inn
378,Forio,IT,86.81,clear sky,40.7342,13.8646,Hotel Terme Providence
382,Along,IN,76.21,broken clouds,28.1667,94.7667,Hotel West
388,Kumbhraj,IN,81.07,overcast clouds,24.3667,77.05,Shubhodye Nebas
395,Hithadhoo,MV,76.91,overcast clouds,-0.6,73.0833,Scoop Guest House
396,Pocone,BR,88.11,few clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
397,Kirkland Lake,CA,82.45,few clouds,48.1446,-80.0377,Comfort Inn
401,Mindelo,CV,75.38,clear sky,16.8901,-24.9804,Hotel Gaudi
404,Abbeville,FR,84.49,broken clouds,50.1,1.8333,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
408,Nishihara,JP,82.45,moderate rain,26.1842,127.7558,Minshuku Agaihama
414,Alghero,IT,86.09,clear sky,40.5589,8.3181,Smy Carlos V Alghero
420,Gwadar,PK,88.02,overcast clouds,25.1216,62.3254,Sadaf Resort
421,Minden,DE,75.47,broken clouds,52.2833,8.9167,Victoria Hotel Minden
427,Dubrajpur,IN,83.7,broken clouds,23.8,87.3833,Garai Hotel
429,Ternate,ID,79.12,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
430,Belmonte,BR,77.49,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
432,Keti Bandar,PK,82.85,broken clouds,24.1447,67.4497,Haji laloo memon house
435,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
437,Wenling,CN,79.59,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
441,Balikpapan,ID,77.99,light rain,-1.2675,116.8289,Swiss-Belhotel Balikpapan
443,Yarada,IN,79.74,overcast clouds,17.65,83.2667,Yarada Jungle Beach Resorts
447,Dakar,SN,85.08,broken clouds,14.6937,-17.4441,Novotel Dakar
449,Basco,PH,84.56,broken clouds,20.4487,121.9702,Nathaniel's Lodge
452,Dongying,CN,75.18,scattered clouds,37.4564,118.4856,Wanda Realm
461,Kaparellion,GR,84.45,clear sky,38.2333,23.2167,Hotel Αντζελίνα
468,Dhidhdhoo,MV,81.61,broken clouds,6.8833,73.1,Dhidhoo beach
476,Mecca,SA,89.51,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
480,Kropotkin,RU,75.27,light rain,45.4375,40.5756,Hotel Europe Kropotkin
481,Katsuura,JP,76.6,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
488,Icatu,BR,86.43,broken clouds,-2.7758,-44.0658,Hotel Guaxenduba
496,Les Cayes,HT,88.02,clear sky,18.2,-73.75,Villa Orphee
498,Nazare,BR,79.97,clear sky,-13.035,-39.0144,Hotel Victória Réghia
499,Haimen,CN,81.93,overcast clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
500,Yangjiang,CN,81.32,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
501,Calhoun,US,78.85,light rain,42.2506,-85.0005,Quality Inn
503,Beirut,LB,83.37,few clouds,33.8889,35.4944,"Crowne Plaza Beirut, an IHG Hotel"
517,The Valley,AI,87.1,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
519,Opatija,HR,84.88,clear sky,45.3392,14.3083,Hotel Opatija
522,Lahaina,US,82.4,broken clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
524,Altamont,US,83.77,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
526,Patiya,BD,79.84,broken clouds,22.2931,91.9762,Sorry
530,Hasaki,JP,75.6,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
532,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
535,Namatanai,PG,78.8,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
536,Kaohsiung,TW,83.03,overcast clouds,22.6163,120.3133,御宿商旅-中山館
537,Bangkalan,ID,78.75,overcast clouds,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
539,Limbang,MY,78.91,overcast clouds,4.75,115.0,Purnama Hotel
541,Kontagora,NG,75.87,overcast clouds,10.3999,5.4695,Queens Guest Inn
552,Shitanjing,CN,75.25,overcast clouds,39.2342,106.3439,Yingbin Hotel
554,San Jose De Rio Tinto,HN,87.28,scattered clouds,14.9333,-85.7,PARQUE ECOTURISTICO QUILIZ
557,Malakal,SS,80.22,overcast clouds,9.5334,31.6605,Nile Palace Hotel
560,Rybachiy,RU,78.66,scattered clouds,48.7073,44.7449,Peresvet
561,Sao Filipe,CV,76.1,scattered clouds,14.8961,-24.4956,Hotel Xaguate
564,Tecoanapa,MX,85.33,overcast clouds,16.5167,-98.75,Hotel Manglares
568,Trairi,BR,85.14,broken clouds,-3.2778,-39.2689,janelas do mar
578,Surt,LY,80.26,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
579,Hambantota,LK,80.65,overcast clouds,6.1241,81.1185,Bungalow 63
581,Los Alamos,US,86.56,clear sky,35.8881,-106.307,Motel 6 Los Alamos NM
583,Zlobin,HR,76.3,clear sky,45.2924,14.6541,Hotel Bitoraj Fuzine
585,Honghu,CN,77.72,broken clouds,29.8206,113.4621,文泉花园酒店
587,Touros,BR,80.44,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
589,Nantong,CN,78.98,overcast clouds,32.0303,120.8747,Overseas Chinese Hotel Nantong
593,Nizwa,OM,87.48,overcast clouds,22.9333,57.5333,Orient Apartments
595,Lekoni,GA,86.25,broken clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
596,Canavieiras,BR,78.03,scattered clouds,-15.675,-38.9472,Bahiadomizil
600,Tomatlan,MX,88.21,overcast clouds,19.9333,-105.25,El Salvial
605,Adeje,ES,81.21,clear sky,28.1227,-16.726,Gran Tacande Wellness & Relax
608,Bacungan,PH,79.27,overcast clouds,9.9106,118.7022,Sumayang Property
611,Griffith,US,79.25,overcast clouds,41.5284,-87.4237,Apartment above Depot Bar
613,Huilong,CN,81.93,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
615,Lalmohan,BD,83.46,broken clouds,22.3384,90.7419,Arifur Rahman Miraj
616,Nizhniy Baskunchak,RU,82.94,scattered clouds,48.2198,46.8311,Arman hotel
617,Shache,CN,82.71,clear sky,38.4167,77.2406,Delong Hotel
618,Tambilil,PH,78.46,heavy intensity rain,5.9622,124.6697,Wilfredo Sotto Home
619,Komsomolskiy,UZ,84.92,clear sky,40.4272,71.7189,Ikathouse
620,Bheramara,BD,82.65,broken clouds,24.0232,88.9925,Govt Guest House (Dac Banglo)
622,Jiangkou,CN,80.71,overcast clouds,25.4872,119.1986,DFM Hotel
623,Darnah,LY,79.48,clear sky,32.767,22.6367,فندق الفردوس
627,Tongzi,CN,76.98,overcast clouds,28.7829,105.0877,Jiayuan Hotel
628,Campbellsville,US,85.14,overcast clouds,37.3434,-85.3419,"Holiday Inn Express Campbellsville, an IHG Hotel"
631,Golpayegan,IR,79.68,clear sky,33.4537,50.2884,Golpayegan Tourist Hotel
634,Ta Khmau,KH,82.45,moderate rain,11.4833,104.95,Takhmao Good Health Hotel
635,Maceio,BR,81.84,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
636,Shubarkuduk,KZ,82.0,clear sky,49.1447,56.4872,Sirius
637,Oussouye,SN,83.61,broken clouds,12.485,-16.5469,Auberge du Routard
640,Lancaster,US,82.76,broken clouds,40.2504,-76.2499,Refreshing Mountain Retreat and Adventure Center
642,Galeras,CO,86.59,broken clouds,9.161,-75.0481,Finca el Naranjal
644,Aqtobe,KZ,78.89,clear sky,50.2797,57.2072,"Gostinitsa ""Ilek"" G. Aktobe"
647,Nara,JP,79.5,moderate rain,34.6851,135.8049,Guesthouse Nara Komachi
648,Yining,CN,77.07,overcast clouds,29.0361,114.5636,Xiushui Hotel
651,Sinnamary,GF,82.35,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
652,Margate,GB,81.1,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
654,Kolokani,ML,76.46,heavy intensity rain,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
655,Sarangani,PH,82.65,broken clouds,5.4033,125.4636,JVL Inn and Cafeteria
656,Sal,JO,75.06,clear sky,32.5694,35.9119,مضافة الجرادات سال
659,Port Hawkesbury,CA,83.89,overcast clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
662,Ca Mau,VN,78.17,broken clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
663,Artyom,AZ,78.94,clear sky,40.4723,50.333,Pir hos
667,Huangmei,CN,76.59,broken clouds,30.1924,116.025,Tianxiachan Hotel
